Algoritmo,File,Word,Count,Time
Sequencial naive,livros/DonQuixote.txt,the,194,24.466855
CPU Paralelo,livros/DonQuixote.txt,the,194,25.20889
Sequencial naive,livros/DonQuixote.txt,the,194,128.847925
CPU Paralelo,livros/DonQuixote.txt,the,194,35.384287
Sequencial naive,livros/DonQuixote.txt,the,194,21.303303
CPU Paralelo,livros/DonQuixote.txt,the,194,24.39175
Sequencial naive,livros/DonQuixote.txt,the,194,22.14285
CPU Paralelo,livros/DonQuixote.txt,the,194,24.494775
Sequencial naive,livros/DonQuixote.txt,the,194,19.366135
CPU Paralelo,livros/DonQuixote.txt,the,194,22.756556
Sequencial naive,livros/DonQuixote.txt,the,194,21.651639
CPU Paralelo,livros/DonQuixote.txt,the,194,27.254225
Sequencial naive,livros/DonQuixote.txt,the,194,12.257041
CPU Paralelo,livros/DonQuixote.txt,the,194,16.841548
Sequencial naive,livros/DonQuixote.txt,the,194,21.808791
CPU Paralelo,livros/DonQuixote.txt,the,194,42.835375
Sequencial naive,livros/DonQuixote.txt,the,194,35.072105
CPU Paralelo,livros/DonQuixote.txt,the,194,47.794686
Sequencial naive,livros/DonQuixote.txt,the,194,34.649173
CPU Paralelo,livros/DonQuixote.txt,the,194,43.364596
Sequencial naive,livros/MobyDick.txt,the,19060,24.587158
CPU Paralelo,livros/MobyDick.txt,the,19060,28.132649
Sequencial naive,livros/MobyDick.txt,the,19060,21.747901
CPU Paralelo,livros/MobyDick.txt,the,19060,30.065489
Sequencial naive,livros/MobyDick.txt,the,19060,39.280463
CPU Paralelo,livros/MobyDick.txt,the,19060,39.763117
Sequencial naive,livros/MobyDick.txt,the,19060,28.293401
CPU Paralelo,livros/MobyDick.txt,the,19060,20.292579
Sequencial naive,livros/MobyDick.txt,the,19060,13.529722
CPU Paralelo,livros/MobyDick.txt,the,19060,11.058995
Sequencial naive,livros/MobyDick.txt,the,19060,9.407862
CPU Paralelo,livros/MobyDick.txt,the,19060,10.414869
Sequencial naive,livros/MobyDick.txt,the,19060,7.542907
CPU Paralelo,livros/MobyDick.txt,the,19060,8.699392
Sequencial naive,livros/MobyDick.txt,the,19060,8.516334
CPU Paralelo,livros/MobyDick.txt,the,19060,10.803475
Sequencial naive,livros/MobyDick.txt,the,19060,11.369146
CPU Paralelo,livros/MobyDick.txt,the,19060,12.247533
Sequencial naive,livros/MobyDick.txt,the,19060,14.493388
CPU Paralelo,livros/MobyDick.txt,the,19060,25.242418
Sequencial naive,livros/Dracula.txt,the,10438,21.377538
CPU Paralelo,livros/Dracula.txt,the,10438,22.947122
Sequencial naive,livros/Dracula.txt,the,10438,28.032719
CPU Paralelo,livros/Dracula.txt,the,10438,26.645005
Sequencial naive,livros/Dracula.txt,the,10438,22.657613
CPU Paralelo,livros/Dracula.txt,the,10438,25.646869
Sequencial naive,livros/Dracula.txt,the,10438,19.695859
CPU Paralelo,livros/Dracula.txt,the,10438,33.846169
Sequencial naive,livros/Dracula.txt,the,10438,40.06241
CPU Paralelo,livros/Dracula.txt,the,10438,20.331369
Sequencial naive,livros/Dracula.txt,the,10438,16.013083
CPU Paralelo,livros/Dracula.txt,the,10438,18.022343
Sequencial naive,livros/Dracula.txt,the,10438,15.880648
CPU Paralelo,livros/Dracula.txt,the,10438,16.348293
Sequencial naive,livros/Dracula.txt,the,10438,7.952111
CPU Paralelo,livros/Dracula.txt,the,10438,8.758532
Sequencial naive,livros/Dracula.txt,the,10438,5.45904
CPU Paralelo,livros/Dracula.txt,the,10438,6.81796
Sequencial naive,livros/Dracula.txt,the,10438,4.539855
CPU Paralelo,livros/Dracula.txt,the,10438,5.30615
Sequencial naive,livros/DonQuixote.txt,a,193661,13.452334
CPU Paralelo,livros/DonQuixote.txt,a,193661,10.477683
Sequencial naive,livros/DonQuixote.txt,a,193661,9.88673
CPU Paralelo,livros/DonQuixote.txt,a,193661,11.190583
Sequencial naive,livros/DonQuixote.txt,a,193661,9.792254
CPU Paralelo,livros/DonQuixote.txt,a,193661,11.346868
Sequencial naive,livros/DonQuixote.txt,a,193661,17.826938
CPU Paralelo,livros/DonQuixote.txt,a,193661,17.867879
Sequencial naive,livros/DonQuixote.txt,a,193661,19.838653
CPU Paralelo,livros/DonQuixote.txt,a,193661,13.01983
Sequencial naive,livros/DonQuixote.txt,a,193661,16.380956
CPU Paralelo,livros/DonQuixote.txt,a,193661,12.457266
Sequencial naive,livros/DonQuixote.txt,a,193661,24.272642
CPU Paralelo,livros/DonQuixote.txt,a,193661,25.175331
Sequencial naive,livros/DonQuixote.txt,a,193661,28.396896
CPU Paralelo,livros/DonQuixote.txt,a,193661,38.88764
Sequencial naive,livros/DonQuixote.txt,a,193661,27.38362
CPU Paralelo,livros/DonQuixote.txt,a,193661,20.766414
Sequencial naive,livros/DonQuixote.txt,a,193661,17.831098
CPU Paralelo,livros/DonQuixote.txt,a,193661,31.731206
Sequencial naive,livros/MobyDick.txt,a,76825,7.352541
CPU Paralelo,livros/MobyDick.txt,a,76825,8.530898
Sequencial naive,livros/MobyDick.txt,a,76825,6.739869
CPU Paralelo,livros/MobyDick.txt,a,76825,9.465897
Sequencial naive,livros/MobyDick.txt,a,76825,9.034373
CPU Paralelo,livros/MobyDick.txt,a,76825,7.03309
Sequencial naive,livros/MobyDick.txt,a,76825,10.394216
CPU Paralelo,livros/MobyDick.txt,a,76825,6.218409
Sequencial naive,livros/MobyDick.txt,a,76825,6.064115
CPU Paralelo,livros/MobyDick.txt,a,76825,8.03223
Sequencial naive,livros/MobyDick.txt,a,76825,6.169626
CPU Paralelo,livros/MobyDick.txt,a,76825,7.646197
Sequencial naive,livros/MobyDick.txt,a,76825,6.157555
CPU Paralelo,livros/MobyDick.txt,a,76825,6.676174
Sequencial naive,livros/MobyDick.txt,a,76825,6.629164
CPU Paralelo,livros/MobyDick.txt,a,76825,5.947219
Sequencial naive,livros/MobyDick.txt,a,76825,6.584907
CPU Paralelo,livros/MobyDick.txt,a,76825,5.834841
Sequencial naive,livros/MobyDick.txt,a,76825,5.997144
CPU Paralelo,livros/MobyDick.txt,a,76825,7.030182
Sequencial naive,livros/Dracula.txt,a,52551,4.553499
CPU Paralelo,livros/Dracula.txt,a,52551,11.926581
Sequencial naive,livros/Dracula.txt,a,52551,11.314236
CPU Paralelo,livros/Dracula.txt,a,52551,7.979477
Sequencial naive,livros/Dracula.txt,a,52551,5.774213
CPU Paralelo,livros/Dracula.txt,a,52551,7.347421
Sequencial naive,livros/Dracula.txt,a,52551,4.735179
CPU Paralelo,livros/Dracula.txt,a,52551,5.298118
Sequencial naive,livros/Dracula.txt,a,52551,5.306726
CPU Paralelo,livros/Dracula.txt,a,52551,5.249732
Sequencial naive,livros/Dracula.txt,a,52551,4.587703
CPU Paralelo,livros/Dracula.txt,a,52551,5.681322
Sequencial naive,livros/Dracula.txt,a,52551,4.351591
CPU Paralelo,livros/Dracula.txt,a,52551,4.495511
Sequencial naive,livros/Dracula.txt,a,52551,4.177231
CPU Paralelo,livros/Dracula.txt,a,52551,5.267987
Sequencial naive,livros/Dracula.txt,a,52551,4.769926
CPU Paralelo,livros/Dracula.txt,a,52551,7.565473
Sequencial naive,livros/Dracula.txt,a,52551,9.355717
CPU Paralelo,livros/Dracula.txt,a,52551,7.750862
Sequencial naive,livros/DonQuixote.txt,and,4126,13.530215
CPU Paralelo,livros/DonQuixote.txt,and,4126,9.673355
Sequencial naive,livros/DonQuixote.txt,and,4126,8.433366
CPU Paralelo,livros/DonQuixote.txt,and,4126,18.506496
Sequencial naive,livros/DonQuixote.txt,and,4126,14.128689
CPU Paralelo,livros/DonQuixote.txt,and,4126,11.842849
Sequencial naive,livros/DonQuixote.txt,and,4126,10.865989
CPU Paralelo,livros/DonQuixote.txt,and,4126,11.521897
Sequencial naive,livros/DonQuixote.txt,and,4126,12.126717
CPU Paralelo,livros/DonQuixote.txt,and,4126,10.113179
Sequencial naive,livros/DonQuixote.txt,and,4126,8.937886
CPU Paralelo,livros/DonQuixote.txt,and,4126,17.861022
Sequencial naive,livros/DonQuixote.txt,and,4126,8.284304
CPU Paralelo,livros/DonQuixote.txt,and,4126,10.893971
Sequencial naive,livros/DonQuixote.txt,and,4126,8.815104
CPU Paralelo,livros/DonQuixote.txt,and,4126,10.366085
Sequencial naive,livros/DonQuixote.txt,and,4126,8.552939
CPU Paralelo,livros/DonQuixote.txt,and,4126,10.511897
Sequencial naive,livros/DonQuixote.txt,and,4126,9.639593
CPU Paralelo,livros/DonQuixote.txt,and,4126,8.902446
